E1,Relation,E2
TauC3 pathology,was associated with,lower frequency of the diagnosis of dementia with Lewy bodies
Misfolded tau proteins epicentres,to,lower functional connectivity
high p-tau217,is associated with,lower hippocampal volumes
amyloid,associated with,lower initial levels
co-occurrence of four repeat (4R)-tau predominant argyrophilic grain disease,was associated with,lower insoluble Aβ42 and pTau181 levels
co-occurrence,was associated with,lower insoluble Aβ42 levels
Apolipoprotein allele 4 (APOE ε4),is associated with,lower IQ scores during childhood and adolescence
motor phenotype,regarding,lower levels of Aβ species
Alzheimer's disease LA/CA,is associated with,lower levels of CSF biomarkers for AD
higher baseline GFAP concentrations,were associated with,lower MMSE scores in dementia with Lewy bodies
lower levels of Aβ species,were associated with,lower motor neuron (LMN) signs
Lower Alzheimer's disease biomarker burden,is associated with,lower neurodegeneration
AGB101,is associated with,lower neurofilament light chain
AGB101 treatment,is associated with,lower neurofilament light chain
reduction in incidence,was associated with,lower odds ratio
homozygous APOE-ε4 carriership,is associated with,lower β-amyloid scores
larger ventricular volume,is associated with,lower β-amyloid scores
male sex,is associated with,lower β-amyloid scores
greater apoE4 glycosylation,was associated with,lower p-tau181 levels
genetically predicted higher mtDNAcn,is causally associated with,lower PD risk
lower visuospatial abilities,were associated with,lower plasma amyloid beta 42/40
this competition,has resulted in,lower prices for consumers
co-occurrence,was associated with,lower pTau181 levels
Cathepsin L (CTSL),is associated with,lower risk
Cathepsin L (CTSL),is associated with,lower risk of a disease
high level of cathepsin L (CTSL),was associated with,lower risk of AD
Cathepsin L (CTSL),is associated with,lower risk of Alzheimer's disease
higher C-reactive protein (CRP),is associated with,lower risk of Alzheimer's disease (AD)
increased serum urate,is associated with,lower risk of neurodegenerative diseases
higher serum Ile level,is associated with,lower risk of progression to Alzheimer's disease
Baseline Modified Dementia Risk Scores,were associated with,lower scores on the Alzheimer's disease composite executive function score
Baseline Modified Dementia Risk Scores,were associated with,lower scores on the Alzheimer's Disease Neuroimaging Initiative composite memory score
Baseline Modified Dementia Risk Scores,were associated with,lower scores on the Mini-Mental State Examination
greater apoE4 glycosylation,was associated with,lower t-tau levels
MAPT tau protein,resulted in,lower tau protein phosphorylation
lower plasma amyloid beta 42/40,was associated with,lower visuospatial abilities
lower plasma amyloid beta 42/40,is associated with,lower visuospatial abilities
it,is associated with,LPS-associated inflammation
expressing mutant human amyloid precursor protein (APP) and tau,caused,LTP impairments in the basolateral amygdala
plasma phospho-tau 217,measured by,Lumipulse platform
regulating miR-497-5p,provides,lung cancer targeted treatment
Phospho-tau peptides,are associated with,lysosomal contents
release of phospho-tau peptides,is associated with,lysosomal contents
greater positive predictive value,mediated by,lysosomal pathways
greater positive predictive value,could be mediated by,lysosomal pathways
release of phospho-tau peptides,is associated with,lysosomal proteases
autophagy,was likely due to,lysosomal stress
disease,is associated with,lysosomal stress
impairment,was likely due to,lysosomal stress
Tau expression,caused,lysosomal stress
sIL6RA,are associated with,M
SMOC1,are associated with,M
their ability to predict meaningful clinical outcomes,using,machine learning
biomarker models,to,machines
biomarker models,to,machines trained to predict cognition
ferritin,causal association between,major depressive disorder
ferritin,no causal association found between,major depressive disorder
common environmental factors,causal associations of,major Neurodegenerative diseases
diffusion IDPs,causal relationships between,major neurodegenerative diseases
structural and diffusion IDPs,have causal relationships with,major neurodegenerative diseases
structural and diffusion imaging-derived phenotypes (IDPs),are associated with,major neurodegenerative diseases
structural IDPs,causal relationships between,major neurodegenerative diseases
lower β-amyloid scores,were associated with,male sex
association between RPS6KB1 and all-cause dementia,was stronger,males
APOE ɛ4 allele,impacts,males and females
APOE ɛ4 allele,impacts differently,males and females
dementia,is associated with,many different underlying pathologies
effect of LBD on colon cancer,not influenced by,many factors
screening being inefficient,because,many participants are not amyloid positive
V337M mutation,in,MAPT tau
V337M mutation,in,MAPT tau protein
simulated reductions of tau-PET-slopes,were associated with,marginally altered cognitive trajectories
MIND diet,demonstrated,marginally greater impact
MIND diet,demonstrated,marginally greater impact on cognitive preservation
episodic memory performance,associated with,marital dissolution
executive functioning,associated with,marital dissolution
Other MARKs,cause less than,MARK4
Tau accumulation,is caused by,MARK4
SNAP25,reliably serves as,marker of synaptic injury
blood phosphorylated tau at amino acid 181,is particularly associated with,markers in older individuals
blood phosphorylated tau at amino acid 181,is associated with,markers in older individuals
assays,need to be standardized,maximize their impact on AD clinical research
progression to ADD,is predicted,MCI
Alzheimer's disease clinical progression,can be predicted by,MCI Alzheimer's disease AD
Alzheimer's disease clinical progression,can be predicted using,MCI Alzheimer's disease AD
older adults,with,MCI and AD dementia
higher CSF Aβ42 levels,in,MCI and AD groups
Aβ1-42/1-40 ratios,remained low in,MCI groups
sTREM2,were not associated with,MCI onset
YKL40,were not associated with,MCI onset
CSF Aβ,influence of,MCI patients
CSF Aβ and tau,have influence on,MCI patients
CSF tau,influence of,MCI patients
influence of CSF Aβ,was investigated in,MCI patients
influence of CSF Aβ and tau,was investigated in,MCI patients
influence of CSF Aβ and tau,was investigated on,MCI patients
AD biomarkers,are impacted by,MCI progression
age,impact,MCI progression
age,impacts,MCI progression
Allostatic load (AL),impacts,MCI progression
Allostatic load (AL),impact,MCI progression
genetic risk,impact,MCI progression
Genetic risk,impacts,MCI progression
sIL6RA,associated with,MCI progression
sIL6RA,are associated with,MCI progression
SMOC1,associated with,MCI progression
SMOC1,are associated with,MCI progression
predictive value of plasma p-tau-181,for the progression from,MCI to dementia
fewer than 2 CMBs,in,MCI-ADD group
mood symptoms,due to,meaningful changes in functional connectivity
preclinical tau deposition in the amygdala,may cause,meaningful changes in functional connectivity
