E1,Relation,E2
model,predicted,mortality from all causes
model,predicted,risk of death from all causes
model,exhibited,"sensitivity and specificity of 0.863 and 0.828, respectively"
model,demonstrated,strong predictive performance for 1-year all-cause mortality
model's performance,was evaluated,positive predictive value
models,performed better with,addition of prognosis nutritional index MACCE and all-cause mortality prediction models
models,performed significantly better,addition of prognosis nutritional index MACCE and all-cause mortality prediction models
models,incorporated,changes in the predictive variables
models,predict,FPG levels
models,combine,LME and the BPNN
modifiable factors,were associated with,LBP
modifiable factors,associated with,migraine
modified DASH diet,impact of,insulin resistance and glycemic control among adults with T2DM
Modified Si-Miao granule,mechanism of,potential
modulation of insulin resistance,causes or is a consequence of,differential effects on beta-cell function
modulation of insulin resistance,causes or is a consequence of,differential effects on body weight
modulation of insulin resistance,causes or is a consequence of,differential effects on glycemic parameters
modulation of insulin resistance,causes or is a consequence of,differential effects on specific lipids
modulation of insulin resistance,causes or is a consequence of,differential effects on UA
modulation of insulin resistance,with,therapies
modulation of insulin resistance with therapies,causes or is a consequence of,beta-cell function
modulation of insulin resistance with therapies,results in,differential effects on beta-cell function
modulation of insulin resistance with therapies,results in,differential effects on body weight
modulation of insulin resistance with therapies,causes or is a consequence of,differential effects on glycemic parameters
modulation of insulin resistance with therapies,results in,"differential effects on glycemic parameters, beta-cell function, specific lipids, body weight, or UA"
modulation of insulin resistance with therapies,results in,differential effects on specific lipids
modulation of microRNAs,is associated with,promising therapeutic target
molecular docking,help,predict potential mechanism of Modified Si-Miao granule
molecular dynamics simulation analysis,has led to the discovery of,small molecule Quercetin
molecular dysfunctions,are associated with,Heart failure with preserved ejection fraction
molecular dysfunctions,are associated with,population having Type 2 diabetes mellitus
molecular dysfunctions,are associated with,the population
molecular mechanisms,relating,cardiovascular complications
molecular mechanisms,underlying,Dorzagliatin's action
molecular mechanisms,relating,hyperglycemia
molecular mechanisms,relating,hyperglycemia to cardiovascular complications
molecular mechanisms,are not understood,lack of sufficient epidemiological data
molecular targets and signaling pathways of dihydromyricetin,disturbed associated with,Type 2 diabetes mellitus
monocyte toll-like receptor (TLR)-2 levels,were significantly associated with,TyG index
monocyte toll-like receptor (TLR)-4 levels,were associated with,TyG index
mood swings,has a significant causal impact on,development of CAD
mood swings,has a significant causal impact on,"development of CAD, MI, HF, and stroke"
mood swings,has significant causal impact on,"development of CAD, MI, HF, and stroke"
mood swings,has a significant causal impact on,development of HF
mood swings,has a significant causal impact on,development of MI
mood swings,has a significant causal impact on,development of stroke
mood swings,causal pathways from to were mediated by,heart failure
mood swings,causal pathways to,MI
mood swings,has significant causal effects on,stroke
mood swings,causal pathways to,stroke
mood swings,causal pathways from,stroke
mood swings,has a significant causal impact on,the
morbidity and mortality,associated with,type 2 diabetes mellitus
Morris water maze test,was used to assess,impact of S-9-PAHSA (fatty acid) on cognition in the mice
mortality from any causes,was not mediated by,Cardiovascular disease CVD
most comparisons,as,very low certainty
MR,explore,causal relationship between type 2 diabetes mellitus and pancreatic cancer
MR,showed,FGF-4
MR,showed,sulfhydryl oxidase 2
MR,showed,type 2 diabetes mellitus insulin treatment
MR analyses,reveal,novel causal relationships between gut microbiota and adult-onset T2DM subtypes
MR analyses,showed,significant causal
MR analyses,showed,significant causal link between Glucagon-like peptide-1 receptor agonists use and chronic tubulo-interstitial nephritis (CTIN)
MR analysis,through,abnormal spermatozoa
MR analysis,underscores,causal association between inflammatory cytokines and DN
MR analysis,further supported,causal association of pesticides exposure with T2DM risk
MR analysis,revealed,causal associations between T2DM and CLDs in East Asians and Europeans
MR analysis,confirmed,causal links between fasting glucose and insulin
MR analysis,suggests,causal relationship
MR analysis,from the perspective of,causal relationship between T2DM and AD
MR analysis,was conducted to assess,causal relationship between UC and diabetes
MR analysis,of,IBS on Type 2 diabetes mellitus
MR analysis,revealed,significant causal effects of mood swings on MI
MR analysis,from the perspective of,T2DM and AD relationship
MR analysis methods,including,"inverse variance weighted (IVW) tests, weighted median, and MR-Egger"
MR analysis perspective,from the perspective of,causal relationship between T2DM and AD
MR analysis perspective,from,causal relationship between T2DM and AD
MR analysis perspective,from the,causal relationship between T2DM and AD
MR methods,were used to reveal,causal relationship between insomnia and LBP
MR methods,used to reveal,causal relationship between insomnia and LBP
MR studies,investigated,causal association between DM and TB
MR studies,goal of,explore the causal relationship between type 2 diabetes mellitus and pancreatic cancer
MR studies,was the goal of,explore the causal relationship between type 2 diabetes mellitus and pancreatic cancer
MR study,supports,causal effect between Kandleria vitulina species and type 2 diabetes mellitus
MR study,supports,causal link between severe autoimmune T2DM and focal epilepsy
MR study results,support,causal relationship between FI and multiple MDs
mr-egger,were used to examine,causal association between gm and the onset of t2dm
MR-Egger regression,was used to assess,their causal relationship
MR-PRESSO,used to,identify and remove SNP outliers associated with liver cancer
Mtb sensitization,was not associated with,β-cell dysfunction
Mtb sensitization,was associated with,T2DM
mtDNA copy number,is associated with,cardiometabolic disease
MtDNA copy number,was found to be,reduced in people with CAD
multiple logistic regression,was used to assess,impact of demographic and socioeconomic factors on risk factor control
multiple metabolic diseases,have a significant impact on,clinical features of T2DM
multiple metabolic diseases,impact of,T2DM
multiple methods,were employed,causal link between these metabolites and Type 2 diabetes
multiple methods,were employed to evaluate,causal link between these metabolites and Type 2 diabetes
multiple methods,including,MR-Egger
multiple MVMR approaches,including,extended versions of IVW
multiple MVMR approaches,including,extended versions of MR-Egger
multiple MVMR approaches,including,MR-Egger
multiple MVMR approaches,including,Q-minimization methods
multiple regression modeling,based on,variation of DLCO
